order_id,order_date,week_start,year,month,week_number,quarter,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,discount,revenue,margin,city,sales_channel,campaign_name,visits,cart_additions,completed_orders,payment_method,order_status,is_completed,conversion_rate,cart_abandonment_rate
ORD000001,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P063,Software,Analytics Tool Pro Pro,4,2068.97,0.1,7448.29,2271.73,Leeds,Marketplace,Q4 Push,75,15,0,PayPal,Completed,True,0.0,1.0
ORD000002,2025-03-03,2025-03-03,2025,3,10,1,C0465,Startup,P022,Cloud Services,Compute Credits,4,753.31,0.0,3013.24,1220.36,Cardiff,Direct,Back-to-Business,15,2,1,Bank Transfer,Completed,True,0.06666666666666667,0.5
ORD000003,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P001,Electronics,Laptop,3,264.83,0.0,794.49,266.95,Leeds,Online Store,Flash Sale,30,11,1,PayPal,Completed,True,0.03333333333333333,0.9090909090909091
ORD000004,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P045,Networking,Cable Kit Pro,4,384.92,0.0,1539.68,343.35,Leeds,Partner,Summer Sale,45,10,0,PayPal,Completed,True,0.0,1.0
ORD000005,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P041,Software,Security Suite Pro,2,1776.12,0.0,3552.24,1126.06,Leeds,Direct,Summer Sale,35,6,0,Credit Card,Completed,True,0.0,1.0
ORD000006,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P013,Software,ERP Module,4,1134.0,0.0,4536.0,1283.69,Leeds,Marketplace,Organic / None,18,8,1,PayPal,Completed,True,0.05555555555555555,0.875
ORD000007,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P032,Office Supply,Desk Chair Pro,10,177.72,0.15,1510.62,759.84,Leeds,Partner,Summer Sale,39,6,0,Bank Transfer,Completed,True,0.0,1.0
ORD000008,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P060,Office Supply,Pen Set Pro,4,94.84,0.1,341.42,113.69,Leeds,Marketplace,Flash Sale,46,5,1,Bank Transfer,Completed,True,0.021739130434782608,0.8
ORD000009,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P021,Cloud Services,Storage Plan,3,415.03,0.1,1120.58,456.08,Leeds,Marketplace,Flash Sale,31,7,1,Bank Transfer,Completed,True,0.03225806451612903,0.8571428571428572
ORD000010,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P052,Cloud Services,Storage Plan Pro Pro,1,771.87,0.0,771.87,314.15,Leeds,Direct,Loyalty Drive,55,9,0,Bank Transfer,Completed,True,0.0,1.0
ORD000011,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P072,Networking,Switch Pro Pro,2,689.95,0.15,1172.91,572.38,Leeds,Partner,Spring Promo,40,7,1,Credit Card,Completed,True,0.025,0.8571428571428572
ORD000012,2025-03-03,2025-03-03,2025,3,10,1,C0465,Startup,P072,Networking,Switch Pro Pro,1,689.95,0.0,689.95,336.7,Cardiff,Marketplace,Q4 Push,12,1,1,Credit Card,Pending,False,0.08333333333333333,0.0
ORD000013,2025-03-03,2025-03-03,2025,3,10,1,C0465,Startup,P029,Office Supply,Standing Desk Pro,2,154.98,0.0,309.96,74.39,Cardiff,Direct,Flash Sale,74,12,0,Credit Card,Cancelled,False,0.0,1.0
ORD000014,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P005,Electronics,Webcam,3,530.47,0.0,1591.41,536.31,Leeds,Marketplace,Summer Sale,13,5,0,Credit Card,Completed,True,0.0,1.0
ORD000015,2025-03-03,2025-03-03,2025,3,10,1,C0381,Government,P080,Electronics,Laptop Pro Pro,2,518.95,0.0,1037.9,348.73,Leeds,Online Store,Organic / None,40,12,0,Bank Transfer,Completed,True,0.0,1.0
