order_id,customer_id,customer_segment,order_date,week,product_id,product_category,product_name,quantity,unit_price,discount,revenue,margin,city,sales_channel,campaign_name,visits,cart_additions,completed_orders,customer_signup_date,last_purchase_date,payment_method,order_status
ORD000001,C0381,Government,2025-03-03,2025-03-03,P063,Software,Analytics Tool Pro Pro,4,2068.97,0.1,7448.29,2271.73,Leeds,Marketplace,Q4 Push,75,15,0,2025-03-03,2025-03-03,PayPal,Completed
ORD000002,C0465,Startup,2025-03-03,2025-03-03,P022,Cloud Services,Compute Credits,4,753.31,0.0,3013.24,1220.36,Cardiff,Direct,Back-to-Business,15,2,1,2025-03-03,2025-03-03,Bank Transfer,Completed
ORD000003,C0381,Government,2025-03-03,2025-03-03,P001,Electronics,Laptop,3,264.83,0.0,794.49,266.95,Leeds,Online Store,Flash Sale,30,11,1,2025-03-03,2025-03-03,PayPal,Completed
ORD000004,C0381,Government,2025-03-03,2025-03-03,P045,Networking,Cable Kit Pro,4,384.92,0.0,1539.68,343.35,Leeds,Partner,Summer Sale,45,10,0,2025-03-03,2025-03-03,PayPal,Completed
ORD000005,C0381,Government,2025-03-03,2025-03-03,P041,Software,Security Suite Pro,2,1776.12,0.0,3552.24,1126.06,Leeds,Direct,Summer Sale,35,6,0,2025-03-03,2025-03-03,Credit Card,Completed
ORD000006,C0381,Government,2025-03-03,2025-03-03,P013,Software,ERP Module,4,1134.0,0.0,4536.0,1283.69,Leeds,Marketplace,Organic / None,18,8,1,2025-03-03,2025-03-03,PayPal,Completed
ORD000007,C0381,Government,2025-03-03,2025-03-03,P032,Office Supply,Desk Chair Pro,10,177.72,0.15,1510.62,759.84,Leeds,Partner,Summer Sale,39,6,0,2025-03-03,2025-03-03,Bank Transfer,Completed
ORD000008,C0381,Government,2025-03-03,2025-03-03,P060,Office Supply,Pen Set Pro,4,94.84,0.1,341.42,113.69,Leeds,Marketplace,Flash Sale,46,5,1,2025-03-03,2025-03-03,Bank Transfer,Completed
ORD000009,C0381,Government,2025-03-03,2025-03-03,P021,Cloud Services,Storage Plan,3,415.03,0.1,1120.58,456.08,Leeds,Marketplace,Flash Sale,31,7,1,2025-03-03,2025-03-03,Bank Transfer,Completed
ORD000010,C0381,Government,2025-03-03,2025-03-03,P052,Cloud Services,Storage Plan Pro Pro,1,771.87,0.0,771.87,314.15,Leeds,Direct,Loyalty Drive,55,9,0,2025-03-03,2025-03-03,Bank Transfer,Completed
ORD000011,C0381,Government,2025-03-03,2025-03-03,P072,Networking,Switch Pro Pro,2,689.95,0.15,1172.91,572.38,Leeds,Partner,Spring Promo,40,7,1,2025-03-03,2025-03-03,Credit Card,Completed
ORD000012,C0465,Startup,2025-03-03,2025-03-03,P072,Networking,Switch Pro Pro,1,689.95,0.0,689.95,336.7,Cardiff,Marketplace,Q4 Push,12,1,1,2025-03-03,2025-03-03,Credit Card,Pending
ORD000013,C0465,Startup,2025-03-03,2025-03-03,P029,Office Supply,Standing Desk Pro,2,154.98,0.0,309.96,74.39,Cardiff,Direct,Flash Sale,74,12,0,2025-03-03,2025-03-03,Credit Card,Cancelled
ORD000014,C0381,Government,2025-03-03,2025-03-03,P005,Electronics,Webcam,3,530.47,0.0,1591.41,536.31,Leeds,Marketplace,Summer Sale,13,5,0,2025-03-03,2025-03-03,Credit Card,Completed
ORD000015,C0381,Government,2025-03-03,2025-03-03,P080,Electronics,Laptop Pro Pro,2,518.95,0.0,1037.9,348.73,Leeds,Online Store,Organic / None,40,12,0,2025-03-03,2025-03-03,Bank Transfer,Completed
ORD000016,C0465,Startup,2025-03-04,2025-03-03,P051,Software,CRM License Pro,5,1851.31,0.15,7868.07,2840.37,Cardiff,Marketplace,Q4 Push,59,12,1,2025-03-03,2025-03-04,Bank Transfer,Completed
ORD000017,C0381,Government,2025-03-04,2025-03-03,P029,Office Supply,Standing Desk Pro,1,154.98,0.0,154.98,37.2,Leeds,Partner,Organic / None,46,10,1,2025-03-03,2025-03-04,Credit Card,Completed
ORD000018,C0381,Government,2025-03-04,2025-03-03,P032,Office Supply,Desk Chair Pro,2,177.72,0.1,319.9,160.91,Leeds,Partner,Back-to-Business,44,17,0,2025-03-03,2025-03-04,Credit Card,Completed
ORD000019,C0104,SMB,2025-03-04,2025-03-03,P053,Networking,Firewall Pro Pro,2,527.54,0.15,896.82,286.09,Leeds,Partner,Organic / None,75,22,1,2025-03-04,2025-03-04,Credit Card,Completed
ORD000020,C0381,Government,2025-03-04,2025-03-03,P046,Office Supply,Standing Desk Pro Pro,3,185.62,0.15,473.33,113.6,Leeds,Marketplace,New Year Deal,22,5,1,2025-03-03,2025-03-04,PayPal,Completed
ORD000021,C0104,SMB,2025-03-04,2025-03-03,P080,Electronics,Laptop Pro Pro,2,518.95,0.0,1037.9,348.73,Leeds,Marketplace,Back-to-Business,32,4,0,2025-03-04,2025-03-04,Invoice,Completed
ORD000022,C0104,SMB,2025-03-04,2025-03-03,P078,Cloud Services,Storage Plan Pro Pro,4,819.11,0.0,3276.44,1333.51,Leeds,Online Store,Flash Sale,74,30,1,2025-03-04,2025-03-04,Bank Transfer,Completed
ORD000023,C0104,SMB,2025-03-04,2025-03-03,P020,Networking,Cable Kit,10,312.02,0.05,2964.19,661.01,Leeds,Direct,Loyalty Drive,47,11,1,2025-03-04,2025-03-04,PayPal,Completed
